"edge","polarity","lr_name","score","share"
"Macrophage->CD8","neg","LGALS9_HAVCR2",13.6837558454598,0.637703265323651
"CD8->CD8","pos","CCL5_CCR5",13.3617621551465,0.874048752004878
"NK->CD8","pos","CCL5_CCR5",12.7842295597839,0.961414765053489
"CD8->Treg","pos","CCL5_CCR5",12.1394635776664,0.839594260244972
"Macrophage->Macrophage","neg","LGALS9_HAVCR2",11.9400720852997,0.671715734385778
"NK->Treg","pos","CCL5_CCR5",11.6147621329831,0.947226155060863
"Macrophage->NK","neg","LGALS9_HAVCR2",11.3083284517532,0.701528079879282
"CD8->Macrophage","pos","IFNG_IFNGR1",11.2934164420789,0.512095365722992
"Endo->CD8","neg","LGALS9_HAVCR2",10.5371291199832,0.538743866093608
"NK->Macrophage","pos","CCL5_CCR5",10.1036355577197,0.781141352095464
"Endo->Macrophage","neg","LGALS9_HAVCR2",9.19441143832263,0.760235768447514
"Endo->NK","neg","LGALS9_HAVCR2",8.7079394263556,0.641122699181159
"CD4conv->CD8","pos","CCL5_CCR5",8.59903812950058,0.937649620039982
"Treg->CD8","pos","CCL5_CCR5",7.86662639435433,0.919416401171134
"CD4conv->Treg","pos","CCL5_CCR5",7.81242091903499,0.918833627016015
"Bcell->CD8","pos","CCL5_CCR5",7.14728577449917,0.860904818987951
"Treg->Treg","pos","CCL5_CCR5",7.1470082676626,0.875223825106611
"CD8->Endo","pos","IFNG_IFNGR1",7.03126059299897,0.99430232288329
"CD4conv->Macrophage","pos","CCL5_CCR5",6.7959940019161,0.693677712886679
"CD8->CD4conv","pos","CCL5_CCR5",6.74919919490516,0.72979645267436
"Endo->Treg","neg","PVR_TIGIT",6.50202490567225,0.457663467331532
"Bcell->Treg","pos","CCL5_CCR5",6.49347102060838,0.779504645077915
"NK->CD4conv","pos","CCL5_CCR5",6.4574799978117,0.904603338788682
"Macrophage->Treg","neg","LGALS9_HAVCR2",6.23935908229043,0.455677445180877
"Macrophage->Treg","pos","CD86_CD28",6.22408757708396,0.404350119468802
"Treg->Macrophage","pos","CCL5_CCR5",6.21715417308563,0.742641312157134
"Bcell->Macrophage","pos","CCL5_CCR5",5.648644711417,0.87493557299553
"CD8->CAF","pos","IFNG_IFNGR1",5.61026089509027,0.992244821958247
"Macrophage->CD4conv","pos","CD86_CD28",5.55122191103204,0.526647679016207
"Bcell->CD8","neg","LGALS9_HAVCR2",5.42357126806411,0.517944829550766
"CAF->Treg","neg","PVR_TIGIT",5.22687983626754,0.610364892776831
"Macrophage->CD8","pos","CCL5_CCR5",5.17033782002555,0.424533005644357
"Endo->CD8","pos","CCL5_CCR5",5.11989547864946,0.919017649231128
