"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Endo->NK->Tumor","-,-",2,1,0.00192721439747287,"Endo-->NK[LR1/LR2/LR3/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Macrophage->Macrophage->Tumor","-,-",2,1,0.00181665300827812,"Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Endo->Macrophage->Tumor","-,-",2,1,0.00178614412658412,"Endo-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Bcell->Macrophage->Tumor","-,-",2,1,0.00170410384285181,"Bcell-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"CAF->Treg->Tumor","-,-",2,1,0.00165783320187638,"CAF-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Macrophage->NK->Tumor","-,-",2,1,0.00158277372046082,"Macrophage-->NK[LR1/LR2/LR3/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->CD8->Tumor","-,-",2,1,0.00156179635035146,"Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->Macrophage->Tumor","-,-",2,1,0.00150514642193224,"Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Endo->Treg->Tumor","-,-",2,1,0.00144412065905106,"Endo-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->NK->Tumor","-,-",2,1,0.00142912921039122,"Bcell-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->NK->Tumor","-,-",2,1,0.00142263727134741,"CAF-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->Tumor","-,-",2,1,0.00138670619498543,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->CD8->Tumor","-,-",2,1,0.00135021501835667,"CAF-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->Macrophage->Tumor","-,-",2,1,0.00134247557273272,"CD4conv-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Treg->NK->Tumor","-,-",2,1,0.00123165108767153,"Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Macrophage->CD8->Tumor","-,-",2,1,0.00118571634428432,"Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->NK->Tumor","-,-",2,1,0.00117703358866966,"Tumor-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Tumor","-,-",2,1,0.00114265094567142,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"NK->Macrophage->Tumor","-,-",2,1,0.00113758135566585,"NK-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"CD4conv->NK->Tumor","-,-",2,1,0.00109113471178153,"CD4conv-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->Macrophage->Tumor","-,-",2,1,0.00107319766827189,"CAF-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"NK->NK->Tumor","-,-",2,1,0.00105341746734938,"NK-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->CD8->Tumor","-,-",2,1,0.0010316460017285,"Bcell-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
