"path_name","signs","hop","net_sign","contribution","lr_annotation"
"CAF->Treg->CD8","-,-",2,1,0.0222018799447821,"CAF-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Macrophage","+,+",2,1,0.0201352381879093,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"Macrophage->Macrophage->CD8","-,-",2,1,0.0198676066697208,"Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Endo->Macrophage->CD8","-,-",2,1,0.0195339499622113,"Endo-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"NK->CD8->Macrophage","+,+",2,1,0.0194098825811664,"NK-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"Endo->Treg->CD8","-,-",2,1,0.0193398186631456,"Endo-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->Macrophage->CD8","-,-",2,1,0.0186367262872229,"Bcell-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Tumor->Treg->CD8","-,-",2,1,0.0185709180060491,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->CD8->Macrophage","+,+",2,1,0.0185319878607317,"CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"CD8->CD8->Macrophage","+,+",2,1,0.0182340912625451,"CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"CAF->Treg->Macrophage","-,-",2,1,0.0180798860892504,"CAF-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Macrophage->Treg","+,+",2,1,0.0180178146503022,"CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Bcell->CD8->Macrophage","+,+",2,1,0.0173262558732202,"Bcell-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"CAF->Treg->Treg","-,-",2,1,0.0172269416906834,"CAF-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->CD8->Macrophage","+,+",2,1,0.0169892349673337,"Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"Treg->Macrophage->CD8","-,-",2,1,0.0164608524330306,"Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Macrophage->Macrophage->Macrophage","-,-",2,1,0.0164581230465527,"Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6]"
"Endo->Macrophage->Macrophage","-,-",2,1,0.0161817252277923,"Endo-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6]"
"Endo->Treg->Macrophage","-,-",2,1,0.0157491941802256,"Endo-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
