"edge","polarity","lr_name","score","share","rank","sender_name","receiver_name","sign"
"Bcell->Bcell","neg","IL10_IL10RA",1.58426390499194,0.502523511446127,1,"Bcell","Bcell",-1
"Bcell->Bcell","neg","LGALS9_HAVCR2",1.51120023950082,0.479347947308087,2,"Bcell","Bcell",-1
"Bcell->Bcell","neg","TGFB1_TGFBR1",0.0401157198167936,0.0127245797388956,3,"Bcell","Bcell",-1
"Bcell->Bcell","neg","PVR_TIGIT",0.0126353708311548,0.00400789975615091,4,"Bcell","Bcell",-1
"Bcell->Bcell","neg","CD274_PDCD1",0.00343548512041512,0.00108972503936502,5,"Bcell","Bcell",-1
"Bcell->Bcell","neg","FASLG_FAS",0.00096576216545105,0.000306336711374325,6,"Bcell","Bcell",-1
"Bcell->Bcell","pos","CCL5_CCR5",0.175917111067831,0.332700582041515,1,"Bcell","Bcell",1
"Bcell->Bcell","pos","IFNG_IFNGR1",0.143007135800171,0.270460087867525,2,"Bcell","Bcell",1
"Bcell->Bcell","pos","IL12A_IL12RB1",0.132369989577836,0.250342745569499,3,"Bcell","Bcell",1
"Bcell->Bcell","pos","CD86_CD28",0.0543691225094628,0.102824782616001,4,"Bcell","Bcell",1
"Bcell->Bcell","pos","CD80_CD28",0.0217597548583716,0.0411528080612321,5,"Bcell","Bcell",1
"Bcell->Bcell","pos","CXCL9_CXCR3",0.00133193070223999,0.00251899384422782,6,"Bcell","Bcell",1
"Bcell->CAF","neg","LGALS9_HAVCR2",0.520064027216769,0.774778440371733,1,"Bcell","CAF",-1
"Bcell->CAF","neg","TGFB1_TGFBR1",0.132924077167833,0.198026980922138,2,"Bcell","CAF",-1
"Bcell->CAF","neg","FASLG_FAS",0.0127664636823382,0.0190191597634604,3,"Bcell","CAF",-1
"Bcell->CAF","neg","PVR_TIGIT",0.00548768664428571,0.00817541894266856,4,"Bcell","CAF",-1
"Bcell->CAF","pos","IFNG_IFNGR1",0.192300497095354,0.65224850939181,1,"Bcell","CAF",1
"Bcell->CAF","pos","IL12A_IL12RB1",0.0738826558828125,0.250596607379424,2,"Bcell","CAF",1
"Bcell->CAF","pos","CD86_CD28",0.0202004891625977,0.0685164060639763,3,"Bcell","CAF",1
"Bcell->CAF","pos","CD80_CD28",0.00808469351553013,0.0274218183210383,4,"Bcell","CAF",1
"Bcell->CAF","pos","CXCL9_CXCR3",0.000358703925083705,0.00121665884375132,5,"Bcell","CAF",1
"Bcell->CD4conv","neg","IL10_IL10RA",2.67032608896801,0.520484991502834,1,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","LGALS9_HAVCR2",1.94545847248067,0.379197859280754,2,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","PVR_TIGIT",0.359833024953128,0.0701366360119517,3,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","CD274_PDCD1",0.0987743772566361,0.0192525478890057,4,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","TGFB1_TGFBR1",0.0488107973192211,0.0095139269817641,5,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","FASLG_FAS",0.00725466346753071,0.00141403833369014,6,"Bcell","CD4conv",-1
"Bcell->CD4conv","pos","CCL5_CCR5",3.61018665314492,0.684846270515256,1,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","CD86_CD28",1.02620633050084,0.194669596268776,2,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","CD80_CD28",0.410711027788261,0.0779111837320804,3,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","IL12A_IL12RB1",0.162861800349657,0.0308946066491332,4,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","IFNG_IFNGR1",0.0564732083866792,0.0107128716222905,5,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","CXCL9_CXCR3",0.00508950904063177,0.000965471212463217,6,"Bcell","CD4conv",1
"Bcell->CD8","neg","LGALS9_HAVCR2",5.42357126806411,0.517944829550766,1,"Bcell","CD8",-1
"Bcell->CD8","neg","IL10_IL10RA",4.00772029112472,0.382732686725562,2,"Bcell","CD8",-1
"Bcell->CD8","neg","PVR_TIGIT",0.783667270248467,0.0748393246168658,3,"Bcell","CD8",-1
"Bcell->CD8","neg","CD274_PDCD1",0.198456172820953,0.0189523366661199,4,"Bcell","CD8",-1
"Bcell->CD8","neg","TGFB1_TGFBR1",0.0500102406459339,0.0047759205672606,5,"Bcell","CD8",-1
"Bcell->CD8","neg","FASLG_FAS",0.00790482668678977,0.000754901873425383,6,"Bcell","CD8",-1
