"","Tumor","CD8","CD4conv","Bcell","Treg","Macrophage","Endo","CAF","NK"
"TGFB1",0.0146,0.1774,0.1919,0.1689,0.1303,0.2646,0.2126,0.2912,0.2963
"IL10",0.6438,1.5718,1.5652,1.401,1.543,1.7524,0.8225,0.7936,1.3244
"CD274",0.1441,0.1529,0.1279,0.0601,0.3991,0.4498,0.2002,0.1954,0.0472
"FASLG",0.0072,1.4049,0.2711,0.0083,0.2081,0,0,0.0024,2.2194
"LGALS9",0.1909,0.76,0.7285,1.4718,1.107,3.7135,2.8595,0.2973,1.1074
"PVR",0.6924,0.2359,0.2076,0.2112,0.1648,0.3223,1.6016,1.2875,0.4198
"CD80",0.0106,0.2227,0.0786,0.1974,0.2307,0.3293,0,0,0.0709
"CD86",0.0243,0.135,0.0184,0.4933,0.103,2.6686,0.0025,0,0.0556
"IL12A",0.0229,0.0237,0.0172,0.0684,0,0.0229,0.0788,0,0
"IFNG",0.0193,2.4503,0.6357,0.084,0.4345,0.0105,0,0,0.6017
"CXCL9",0.0344,0.0424,0.0302,0.0043,0.0029,1.3654,0.1243,0.4883,0.0111
"CCL5",2.7581,8.2334,5.2986,4.4041,4.8473,3.1859,3.1548,2.375,7.8775
"TGFBR1",0.8906,0.2961,0.289,0.2375,0.3642,0.8793,0.1273,0.7869,1.1767
"IL10RA",0.0879,2.8607,1.9061,1.1308,3.0778,3.1793,0,0,2.2159
"PDCD1",0.0443,3.3042,1.6445,0.0572,1.4554,0.0282,0.0406,0,0.1291
"FAS",0.2945,0.9568,0.8781,0.1169,1.7585,0.3914,0.0489,1.5453,0.547
"HAVCR2",0.4147,3.6849,1.3218,1.0267,1.6802,3.2153,0.5551,0.3533,3.0452
"TIGIT",0.0391,3.7113,1.7041,0.0598,4.0597,0.0575,0,0.026,1.7331
"CD28",0.0701,1.3604,2.0802,0.1102,2.3323,0.4547,0.0442,0.0409,0.0772
"IL12RB1",0.8822,2.3658,2.3817,1.9358,2.4762,1.5533,1.0082,1.0805,2.3386
"IFNGR1",1.4548,0.5279,0.6724,1.7027,0.5359,4.6089,2.8695,2.2896,1.4656
"CXCR3",0.0185,2.1023,1.1947,0.3127,2.6666,0.0086,0.0136,0.0842,1.3971
"CCR5",0.0207,1.6229,0.8197,0.0399,1.4744,1.2826,0,0,0.2361
