"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Tumor->Treg->CD8","-,-",2,1,0.0185709180060491,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg","+,+",2,1,0.0132011665295857,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8","+,+",2,1,0.0120186720562545,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->CD8->Treg","-,-",2,1,0.0107886398207969,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Tumor->Treg","+,+",2,1,0.00319152506572049,"CD8-+>Tumor[LR7/LR8/LR9/LR10/LR11/LR12] | Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->Macrophage","-,-,+",3,1,0.00301195613948122,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"Treg->CD8->Tumor","+,+",2,1,0.00291379422776287,"Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Tumor[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Macrophage->Treg","-,+,-",3,1,0.0023919639045752,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6]"
"Tumor->Treg->Macrophage->CD8","-,+,-",3,1,0.00225835701529953,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Tumor->CD8->Macrophage->Treg","+,+,+",3,1,0.00223688478556887,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->CD8","-,-,+",3,1,0.00208786409524497,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Treg->CD8","-,+,-",3,1,0.00207133320662367,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->Treg","-,-,+",3,1,0.00197471389243239,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->CD8->Macrophage","+,+,+",3,1,0.0019492689094021,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->Macrophage->CD8","+,-,-",3,1,0.0018886446583179,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Tumor->Treg->Treg->CD8","-,+,-",3,1,0.00185661048788689,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg->Macrophage","-,+,-",3,1,0.00168677015287793,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg->Treg","-,+,-",3,1,0.00160719436647834,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->NK->CD8","-,-,+",3,1,0.00154149092833394,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->Treg->CD8","+,-,-",3,1,0.00151669525525376,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->Treg->CD8","-,-,+",3,1,0.00150942089747031,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->CD8->CD8->Treg","+,+,+",3,1,0.00148416150475135,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
