"sender","receiver","lr_pair","score","sign","sender_name","receiver_name","pair_name"
1,1,1,0.00638056968725856,-1,"Tumor","Tumor","CD274_PDCD1"
1,2,1,0.476148764570764,-1,"Tumor","CD8","CD274_PDCD1"
1,3,1,0.236985814215139,-1,"Tumor","CD4conv","CD274_PDCD1"
1,4,1,0.00824263600640289,-1,"Tumor","Bcell","CD274_PDCD1"
1,5,1,0.209724845279045,-1,"Tumor","Treg","CD274_PDCD1"
1,6,1,0.00406591885997473,-1,"Tumor","Macrophage","CD274_PDCD1"
1,7,1,0.00584901324351374,-1,"Tumor","Endo","CD274_PDCD1"
1,9,1,0.0186044482085264,-1,"Tumor","NK","CD274_PDCD1"
2,1,1,0.00676893488628368,-1,"CD8","Tumor","CD274_PDCD1"
2,2,1,0.505130441565431,-1,"CD8","CD8","CD274_PDCD1"
2,3,1,0.251410394999451,-1,"CD8","CD4conv","CD274_PDCD1"
2,4,1,0.00874433932288116,-1,"CD8","Bcell","CD274_PDCD1"
2,5,1,0.222490136666734,-1,"CD8","Treg","CD274_PDCD1"
2,6,1,0.004313398546691,-1,"CD8","Macrophage","CD274_PDCD1"
2,7,1,0.00620502427446508,-1,"CD8","Endo","CD274_PDCD1"
2,9,1,0.0197368424280716,-1,"CD8","NK","CD274_PDCD1"
3,1,1,0.00566196594341744,-1,"CD4conv","Tumor","CD274_PDCD1"
3,2,1,0.422523100779466,-1,"CD4conv","CD8","CD274_PDCD1"
3,3,1,0.210295580947676,-1,"CD4conv","CD4conv","CD274_PDCD1"
3,4,1,0.00731431935387125,-1,"CD4conv","Bcell","CD274_PDCD1"
3,5,1,0.18610484481185,-1,"CD4conv","Treg","CD274_PDCD1"
3,6,1,0.00360799979347404,-1,"CD4conv","Macrophage","CD274_PDCD1"
3,7,1,0.00519027538457953,-1,"CD4conv","Endo","CD274_PDCD1"
3,9,1,0.0165091453139522,-1,"CD4conv","NK","CD274_PDCD1"
4,1,1,0.00265938617249636,-1,"Bcell","Tumor","CD274_PDCD1"
4,2,1,0.198456172820953,-1,"Bcell","CD8","CD274_PDCD1"
4,3,1,0.0987743772566361,-1,"Bcell","CD4conv","CD274_PDCD1"
4,4,1,0.00343548512041512,-1,"Bcell","Bcell","CD274_PDCD1"
4,5,1,0.0874121561085352,-1,"Bcell","Treg","CD274_PDCD1"
4,6,1,0.00169465250356897,-1,"Bcell","Macrophage","CD274_PDCD1"
4,7,1,0.00243783638530116,-1,"Bcell","Endo","CD274_PDCD1"
4,9,1,0.00775423116394761,-1,"Bcell","NK","CD274_PDCD1"
5,1,1,0.0176700249722315,-1,"Treg","Tumor","CD274_PDCD1"
5,2,1,1.318622156461,-1,"Treg","CD8","CD274_PDCD1"
5,3,1,0.656296453216127,-1,"Treg","CD4conv","CD274_PDCD1"
5,4,1,0.0228267366722754,-1,"Treg","Bcell","CD274_PDCD1"
5,5,1,0.5808013132085,-1,"Treg","Treg","CD274_PDCD1"
5,6,1,0.0112599487682563,-1,"Treg","Macrophage","CD274_PDCD1"
5,7,1,0.016197959608871,-1,"Treg","Endo","CD274_PDCD1"
5,9,1,0.0515222120519608,-1,"Treg","NK","CD274_PDCD1"
6,1,1,0.0199174956789214,-1,"Macrophage","Tumor","CD274_PDCD1"
6,2,1,1.48633921823627,-1,"Macrophage","CD8","CD274_PDCD1"
6,3,1,0.739771550496731,-1,"Macrophage","CD4conv","CD274_PDCD1"
6,4,1,0.0257300954440307,-1,"Macrophage","Bcell","CD274_PDCD1"
6,5,1,0.654674097196891,-1,"Macrophage","Treg","CD274_PDCD1"
6,6,1,0.0126921145436445,-1,"Macrophage","Macrophage","CD274_PDCD1"
6,7,1,0.0182581966366224,-1,"Macrophage","Endo","CD274_PDCD1"
6,9,1,0.0580753811908057,-1,"Macrophage","NK","CD274_PDCD1"
7,1,1,0.00886468512759643,-1,"Endo","Tumor","CD274_PDCD1"
7,2,1,0.661525393295626,-1,"Endo","CD8","CD274_PDCD1"
7,3,1,0.32925032178857,-1,"Endo","CD4conv","CD274_PDCD1"
7,4,1,0.0114517004592962,-1,"Endo","Bcell","CD274_PDCD1"
7,5,1,0.291375975494032,-1,"Endo","Treg","CD274_PDCD1"
7,6,1,0.00564888281370968,-1,"Endo","Macrophage","CD274_PDCD1"
7,7,1,0.00812618045915713,-1,"Endo","Endo","CD274_PDCD1"
7,9,1,0.0258476254354839,-1,"Endo","NK","CD274_PDCD1"
8,1,1,0.00865241249442124,-1,"CAF","Tumor","CD274_PDCD1"
8,2,1,0.645684589575484,-1,"CAF","CD8","CD274_PDCD1"
8,3,1,0.321366135066329,-1,"CAF","CD4conv","CD274_PDCD1"
8,4,1,0.0111774794829346,-1,"CAF","Bcell","CD274_PDCD1"
8,5,1,0.28439872309625,-1,"CAF","Treg","CD274_PDCD1"
8,6,1,0.00551361537757353,-1,"CAF","Macrophage","CD274_PDCD1"
8,7,1,0.00793159196572581,-1,"CAF","Endo","CD274_PDCD1"
8,9,1,0.0252286814534314,-1,"CAF","NK","CD274_PDCD1"
9,1,1,0.00209012762216763,-1,"NK","Tumor","CD274_PDCD1"
9,2,1,0.15597536487654,-1,"NK","CD8","CD274_PDCD1"
9,3,1,0.0776310926189051,-1,"NK","CD4conv","CD274_PDCD1"
9,4,1,0.00270009764658778,-1,"NK","Bcell","CD274_PDCD1"
9,5,1,0.0687010272841177,-1,"NK","Treg","CD274_PDCD1"
9,6,1,0.00133190134036085,-1,"NK","Macrophage","CD274_PDCD1"
9,7,1,0.00191600197817837,-1,"NK","Endo","CD274_PDCD1"
9,9,1,0.0060943885893887,-1,"NK","NK","CD274_PDCD1"
1,1,2,0.00144031471507254,-1,"Tumor","Tumor","PDCD1LG2_PDCD1"
1,2,2,0.107483203818677,-1,"Tumor","CD8","PDCD1LG2_PDCD1"
1,3,2,0.0534958745390911,-1,"Tumor","CD4conv","PDCD1LG2_PDCD1"
1,4,2,0.00186064732663545,-1,"Tumor","Bcell","PDCD1LG2_PDCD1"
1,5,2,0.0473421333168616,-1,"Tumor","Treg","PDCD1LG2_PDCD1"
1,6,2,0.000917818165360201,-1,"Tumor","Macrophage","PDCD1LG2_PDCD1"
1,7,2,0.00132032408643853,-1,"Tumor","Endo","PDCD1LG2_PDCD1"
1,9,2,0.00419966583455005,-1,"Tumor","NK","PDCD1LG2_PDCD1"
2,1,2,0.00236365276456691,-1,"CD8","Tumor","PDCD1LG2_PDCD1"
2,2,2,0.176387125113645,-1,"CD8","CD8","PDCD1LG2_PDCD1"
2,3,2,0.0877903075098967,-1,"CD8","CD4conv","PDCD1LG2_PDCD1"
2,4,2,0.0030534466887429,-1,"CD8","Bcell","PDCD1LG2_PDCD1"
2,5,2,0.077691606649495,-1,"CD8","Treg","PDCD1LG2_PDCD1"
2,6,2,0.00150620098595196,-1,"CD8","Macrophage","PDCD1LG2_PDCD1"
2,7,2,0.00216674011893125,-1,"CD8","Endo","PDCD1LG2_PDCD1"
2,9,2,0.00689193247573777,-1,"CD8","NK","PDCD1LG2_PDCD1"
3,1,2,0.00190901300094534,-1,"CD4conv","Tumor","PDCD1LG2_PDCD1"
3,2,2,0.142459721702404,-1,"CD4conv","CD8","PDCD1LG2_PDCD1"
3,3,2,0.0709041704034264,-1,"CD4conv","CD4conv","PDCD1LG2_PDCD1"
