"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Tumor->CD8->Treg","-,-",2,1,0.00698473915315534,"Tumor-->CD8[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4] | CD8-->Treg[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/FGL1_LAG3/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL13_IL13RA1/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4]"
"Tumor->Treg->CD8","-,-",2,1,0.00680822043751239,"Tumor-->Treg[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4] | Treg-->CD8[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4]"
"Tumor->CD8->Treg","+,+",2,1,0.00660475793810745,"Tumor-+>CD8[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/EGF_EGFR/TGFA_EGFR/HBEGF_EGFR/AREG_EGFR/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3] | CD8-+>Treg[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNA1_IFNAR1/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3]"
"Tumor->Treg->CD8","+,+",2,1,0.00582532853814083,"Tumor-+>Treg[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3] | Treg-+>CD8[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNA1_IFNAR1/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/EGF_EGFR/TGFA_EGFR/HBEGF_EGFR/AREG_EGFR/IGF1_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3]"
"Treg->Tumor->CD8","-,-",2,1,0.00341871648920889,"Treg-->Tumor[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4] | Tumor-->CD8[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4]"
"Treg->CD8->Tumor","-,-",2,1,0.00236583639631742,"Treg-->CD8[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4] | CD8-->Tumor[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/FGL1_LAG3/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL13_IL13RA1/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4]"
"Treg->CD8->Tumor","+,+",2,1,0.00212394909764181,"Treg-+>CD8[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNA1_IFNAR1/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/EGF_EGFR/TGFA_EGFR/HBEGF_EGFR/AREG_EGFR/IGF1_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3] | CD8-+>Tumor[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNA1_IFNAR1/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/EGF_EGFR/TGFA_EGFR/HBEGF_EGFR/AREG_EGFR/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3]"
"CD8->Tumor->Treg","+,+",2,1,0.00203344197208925,"CD8-+>Tumor[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNA1_IFNAR1/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/EGF_EGFR/TGFA_EGFR/HBEGF_EGFR/AREG_EGFR/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3] | Tumor-+>Treg[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3]"
"CD8->Tumor->Treg","-,-",2,1,0.00161336559261699,"CD8-->Tumor[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/FGL1_LAG3/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL13_IL13RA1/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4] | Tumor-->Treg[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4]"
"Tumor->CD8->Treg->NK","-,+,-",3,1,0.00155174219768769,"Tumor-->CD8[CD274_PDCD1/PDCD1LG2_PDCD1/CD80_CTLA4/CD86_CTLA4/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/CSF1_CSF1R/VEGFA_FLT1/CXCL12_CXCR4] | CD8-+>Treg[CD80_CD28/CD86_CD28/ICOSLG_ICOS/CD40LG_CD40/TNFSF9_TNFRSF9/TNFSF4_TNFRSF4/CD70_CD27/TNFSF18_TNFRSF18/TNFSF14_TNFRSF14/CD58_CD2/PVR_CD226/IL2_IL2RA/IL2_IL2RB/IL12A_IL12RB1/IL12B_IL12RB2/IL15_IL2RB/IL15_IL15RA/IL18_IL18R1/IL21_IL21R/IFNG_IFNGR1/IFNG_IFNGR2/IFNA1_IFNAR1/IFNB1_IFNAR1/IL1B_IL1R1/TNF_TNFRSF1A/CXCL9_CXCR3/CXCL10_CXCR3/CXCL11_CXCR3/CCL5_CCR5/CCL3_CCR5/CCL4_CCR5/CXCL16_CXCR6/XCL1_XCR1/CCL19_CCR7/CCL21_CCR7/CXCL13_CXCR5/IGF1_IGF1R/IGF2_IGF1R/PDGFA_PDGFRA/PDGFB_PDGFRB/FGF2_FGFR1/HGF_MET/VEGFA_KDR/TNFSF13B_TNFRSF13B/MICA_KLRK1/MICB_KLRK1/ULBP1_KLRK1/NCR3LG1_NCR3] | Treg-->NK[CD274_PDCD1/PDCD1LG2_PDCD1/PVR_TIGIT/PVR_CD96/LGALS9_HAVCR2/CEACAM1_HAVCR2/HMGB1_HAVCR2/LGALS3_LAG3/BTLA_TNFRSF14/CD160_TNFRSF14/CD47_SIRPA/HLA-E_KLRC1/HLA-C_KIR2DL1/HLA-C_KIR2DL3/HLA-B_KIR3DL1/HLA-A_LILRB1/HLA-G_LILRB1/HLA-G_KIR2DL4/FASLG_FAS/TNFSF10_TNFRSF10A/TNFSF10_TNFRSF10B/TNF_TNFRSF1B/TGFB1_TGFBR1/TGFB1_TGFBR2/TGFB2_TGFBR1/TGFB3_TGFBR1/IL10_IL10RA/IL10_IL10RB/IL4_IL4R/VEGFA_FLT1/CXCL12_CXCR4]"
