"route","obs","null_mean","p","p_adj"
"CAF ~~> NK",0.124997265525724,0.103298987341428,0.0824587706146927,0.471878346541015
"Bcell ~~> NK",0.123462832990942,0.104134781019787,0.0539730134932534,0.471878346541015
"Endo ~~> NK",0.122215430897517,0.103564771306594,0.0514742628685657,0.471878346541015
"Tumor ~~> NK",0.114894242362949,0.103375546837577,0.147426286856572,0.471878346541015
"Treg ~~> NK",0.114785772565467,0.103608799599128,0.12743628185907,0.471878346541015
"CD4conv ~~> NK",0.113438761354474,0.103867680533169,0.15592203898051,0.471878346541015
"Macrophage ~~> NK",0.111518965568238,0.102752409330419,0.141429285357321,0.471878346541015
"CAF ~~> Macrophage",0.108891780891889,0.092674473377141,0.123938030984508,0.471878346541015
"Bcell ~~> Macrophage",0.107695123488449,0.0932567802820742,0.0889555222388806,0.471878346541015
"Endo ~~> Macrophage",0.106620883835244,0.0930088977034641,0.0789605197401299,0.471878346541015
"Tumor ~~> Macrophage",0.102693379312675,0.0945093080160937,0.179410294852574,0.471878346541015
"Treg ~~> Macrophage",0.100941246458944,0.0931231900572514,0.176411794102949,0.471878346541015
"CD4conv ~~> Macrophage",0.0984968424353583,0.0926164979346674,0.213893053473263,0.471878346541015
"NK ~~> Macrophage",0.0972467516622853,0.092531773551968,0.229385307346327,0.471878346541015
"CAF ~~> Bcell",0.0473574873302234,0.0397809602083139,0.120439780109945,0.471878346541015
"Endo ~~> Bcell",0.0473362721852439,0.0403506231710039,0.0664667666166917,0.471878346541015
"Tumor ~~> Bcell",0.0452904221947122,0.0401033087404097,0.124437781109445,0.471878346541015
"Treg ~~> Bcell",0.0451298857443198,0.0401822993789853,0.110444777611194,0.471878346541015
"CD4conv ~~> Bcell",0.0443169510483372,0.0402922672592611,0.144927536231884,0.471878346541015
"Macrophage ~~> Bcell",0.043688463513334,0.0401528208467961,0.147426286856572,0.471878346541015
"NK ~~> Bcell",0.0436812680928033,0.0401317337361873,0.163418290854573,0.471878346541015
"CAF ~~> Endo",0.0334715340787769,0.0305230930256612,0.176911544227886,0.471878346541015
"Bcell ~~> Endo",0.0331646029976125,0.0303889293960939,0.129935032483758,0.471878346541015
"Tumor ~~> Endo",0.0323213842529819,0.0306506444387198,0.208895552223888,0.471878346541015
"Treg ~~> Endo",0.032014900139158,0.0303423167374491,0.192903548225887,0.471878346541015
"CD4conv ~~> Endo",0.0315107427113642,0.0301812826149194,0.211894052973513,0.471878346541015
"Macrophage ~~> Endo",0.0314897289748367,0.0302573344146616,0.217891054472764,0.471878346541015
"NK ~~> Endo",0.031435583719375,0.0301301673479959,0.225387306346827,0.471878346541015
"CAF ~~> Tumor",0.0247431726081732,0.0226072256840947,0.189905047476262,0.471878346541015
"Bcell ~~> Tumor",0.0243876402750369,0.0223316289868697,0.134932533733133,0.471878346541015
"Endo ~~> Tumor",0.024382815512709,0.0225287215424676,0.144427786106947,0.471878346541015
"Treg ~~> Tumor",0.0235711844562949,0.0222749799244348,0.189905047476262,0.471878346541015
"Macrophage ~~> Tumor",0.0233283667688162,0.0223437911583736,0.213893053473263,0.471878346541015
"CD4conv ~~> Tumor",0.0231282157911929,0.0221286838500626,0.223388305847076,0.471878346541015
"NK ~~> Tumor",0.0230779571801267,0.0220733203000345,0.224387806096952,0.471878346541015
"CD8 ~~> NK",0.102506642705422,0.103238845521263,0.397801099450275,0.663097022917113
"Bcell ~~> CD8",0.0937208478778658,0.0941750578334023,0.395802098950525,0.663097022917113
"Endo ~~> CD8",0.0916035545839749,0.0926617831071187,0.418290854572714,0.663097022917113
"Treg ~~> CD8",0.0914681421645622,0.0939661899697352,0.500749625187406,0.663097022917113
"NK ~~> CD8",0.0914063770240242,0.093974973680972,0.515742128935532,0.663097022917113
"CAF ~~> CD8",0.091357656240775,0.0912775123170939,0.378810594702649,0.663097022917113
"Tumor ~~> CD8",0.0908494184804548,0.093641257961632,0.497251374312844,0.663097022917113
"Macrophage ~~> CD8",0.089753365497788,0.0921522442588084,0.515242378810595,0.663097022917113
