"source","target","hop","path","signs","net_sign","contribution","source_name","target_name","path_name","lr_annotation"
1,2,1,"1->2","+",1,0.333333333333333,"Tumor","Treg","Tumor->Treg","Tumor-+>Treg[LR1]"
1,3,1,"1->3","-",-1,0.666666666666667,"Tumor","CD8","Tumor->CD8","Tumor-->CD8[LR4/LR5]"
2,3,1,"2->3","-",-1,1,"Treg","CD8","Treg->CD8","Treg-->CD8[LR2/LR3]"
3,1,1,"3->1","+",1,0.5,"CD8","Tumor","CD8->Tumor","CD8-+>Tumor[LR10]"
3,1,1,"3->1","-",-1,0.5,"CD8","Tumor","CD8->Tumor","CD8-->Tumor[LR6]"
4,1,1,"4->1","-",-1,1,"NK","Tumor","NK->Tumor","NK-->Tumor[LR7]"
5,3,1,"5->3","+",1,1,"DC","CD8","DC->CD8","DC-+>CD8[LR8/LR9]"
1,3,2,"1->2->3","+,-",-1,0.333333333333333,"Tumor","CD8","Tumor->Treg->CD8","Tumor-+>Treg[LR1] | Treg-->CD8[LR2/LR3]"
1,1,2,"1->3->1","-,+",-1,0.333333333333333,"Tumor","Tumor","Tumor->CD8->Tumor","Tumor-->CD8[LR4/LR5] | CD8-+>Tumor[LR10]"
1,1,2,"1->3->1","-,-",1,0.333333333333333,"Tumor","Tumor","Tumor->CD8->Tumor","Tumor-->CD8[LR4/LR5] | CD8-->Tumor[LR6]"
2,1,2,"2->3->1","-,+",-1,0.5,"Treg","Tumor","Treg->CD8->Tumor","Treg-->CD8[LR2/LR3] | CD8-+>Tumor[LR10]"
2,1,2,"2->3->1","-,-",1,0.5,"Treg","Tumor","Treg->CD8->Tumor","Treg-->CD8[LR2/LR3] | CD8-->Tumor[LR6]"
3,2,2,"3->1->2","+,+",1,0.166666666666667,"CD8","Treg","CD8->Tumor->Treg","CD8-+>Tumor[LR10] | Tumor-+>Treg[LR1]"
3,3,2,"3->1->3","+,-",-1,0.333333333333333,"CD8","CD8","CD8->Tumor->CD8","CD8-+>Tumor[LR10] | Tumor-->CD8[LR4/LR5]"
3,2,2,"3->1->2","-,+",-1,0.166666666666667,"CD8","Treg","CD8->Tumor->Treg","CD8-->Tumor[LR6] | Tumor-+>Treg[LR1]"
3,3,2,"3->1->3","-,-",1,0.333333333333333,"CD8","CD8","CD8->Tumor->CD8","CD8-->Tumor[LR6] | Tumor-->CD8[LR4/LR5]"
4,2,2,"4->1->2","-,+",-1,0.333333333333333,"NK","Treg","NK->Tumor->Treg","NK-->Tumor[LR7] | Tumor-+>Treg[LR1]"
